resident_id_m,approx_social_grade,country_of_birth_3a,economic_activity_status_10m,ethnic_group_tb_6a,health_in_general,hh_families_type_6a,hours_per_week_worked,in_full_time_education,industry_10a,iol22cd,legal_partnership_status_6a,occupation_10a,region,religion_tb,residence_type,resident_age_7d,sex,usual_short_student
PTS000000271956,-8,1,5,4,3,2,-8,2,-8,-8,2,-8,E12000003,5,1,7,1,1
PTS000000271980,-8,1,5,4,2,2,-8,2,-8,-8,2,-8,E12000003,2,1,7,2,1
PTS000000269310,1,1,1,4,1,3,2,2,8,-8,1,2,E12000003,2,1,5,1,1
PTS000000275232,3,1,1,4,1,3,3,2,7,-8,1,8,E12000003,2,1,5,2,1
PTS000000271345,2,1,1,4,4,2,3,2,8,-8,2,2,E12000003,1,1,4,2,1
PTS000000270635,3,1,2,4,1,3,3,2,9,-8,1,6,E12000003,9,1,3,1,1
PTS000000272670,-8,1,5,4,2,1,-8,2,-8,-8,1,-8,E12000003,2,1,7,2,1
PTS000000267411,2,1,1,4,1,2,2,2,8,-8,2,4,E12000003,2,1,5,1,1
PTS000000274484,1,1,1,4,1,2,4,2,5,-8,2,2,E12000003,2,1,5,1,1
PTS000000085225,2,2,5,4,1,2,-8,2,-8,-8,2,-8,E12000004,2,1,7,2,1
PTS000000085467,-8,1,5,4,1,2,-8,2,-8,-8,2,-8,E12000004,2,1,7,2,1
PTS000000283209,-8,2,5,4,2,4,-8,2,8,-8,5,6,E12000002,2,1,7,1,1
PTS000000282720,4,1,2,4,3,2,1,2,4,-8,2,5,E12000002,2,1,6,2,1
PTS000000283446,2,1,-8,4,1,2,-8,1,-8,-8,-8,-8,E12000002,1,1,1,2,1
PTS000000282860,1,1,-8,3,1,3,-8,-8,-8,-8,-8,-8,E12000002,9,1,1,1,1
PTS000000284994,2,1,1,4,1,2,3,2,7,-8,2,3,E12000002,2,1,6,2,1
PTS000000282917,2,1,1,4,1,3,2,2,8,-8,1,2,E12000002,1,1,3,2,1
PTS000000286533,1,1,2,4,1,3,3,2,6,-8,1,2,E12000002,1,1,5,2,1
PTS000000282915,4,2,2,1,3,2,2,2,5,-8,2,8,E12000002,6,1,6,2,1
PTS000000286102,3,1,1,4,3,2,3,2,5,-8,2,9,E12000002,2,1,5,1,1
PTS000000286053,2,1,7,4,1,2,-8,2,6,-8,2,2,E12000002,1,1,6,2,1
PTS000000286640,1,1,-8,3,1,2,-8,-8,-8,-8,-8,-8,E12000002,1,1,1,1,1
PTS000000286727,2,1,-8,5,1,2,-8,-8,-8,-8,-8,-8,E12000002,6,1,1,1,1
PTS000000283623,3,1,1,4,2,2,3,2,5,-8,2,5,E12000002,2,1,5,1,1
PTS000000284714,4,1,1,1,1,4,2,2,5,-8,1,9,E12000002,1,1,2,2,1
PTS000000287875,3,2,-8,1,1,2,-8,1,-8,-8,-8,-8,E12000002,6,1,1,2,1
PTS000000285154,2,2,2,4,3,4,4,2,4,-8,3,1,E12000002,9,1,5,2,1
PTS000000586847,2,1,1,4,1,3,3,2,8,-8,1,2,E12000003,2,1,4,1,1
PTS000000585350,3,1,8,4,3,2,-8,2,8,-8,2,2,E12000003,2,1,6,1,1
PTS000000586530,1,1,-8,4,1,2,-8,-8,-8,-8,-8,-8,E12000003,1,1,1,2,1
PTS000000584864,2,1,1,1,1,2,3,2,8,-8,1,2,E12000003,6,1,3,2,1
PTS000000587846,2,1,2,4,2,2,4,2,4,-8,2,1,E12000003,2,1,3,2,1
PTS000000587067,1,1,1,4,2,2,3,2,8,-8,2,1,E12000003,1,1,6,2,1
PTS000000587822,2,1,6,4,4,5,-8,1,5,-8,1,9,E12000003,1,1,2,2,1
PTS000000587225,2,1,2,4,1,2,2,2,8,-8,2,3,E12000003,1,1,6,2,1
PTS000000586383,-8,1,5,4,2,2,-8,2,8,-8,2,5,E12000003,2,1,7,1,1
PTS000000587573,4,1,7,4,4,4,-8,2,-8,-8,3,-8,E12000003,2,1,6,1,1
PTS000000584992,4,1,-8,4,1,4,-8,-8,-8,-8,-8,-8,E12000003,1,1,1,1,1
PTS000000586271,1,1,1,4,1,2,3,2,8,-8,2,2,E12000003,1,1,4,1,1
PTS000000588095,-8,1,5,4,2,1,-8,2,4,-8,2,4,E12000003,2,1,7,1,1
PTS000000585020,3,1,1,4,1,3,3,2,4,-8,1,5,E12000003,1,1,3,2,1
PTS000000586980,2,1,1,4,1,2,3,2,9,-8,2,6,E12000003,1,1,4,1,1
PTS000000588330,2,1,1,1,1,2,3,2,8,-8,2,3,E12000003,6,1,5,2,1
PTS000000587315,-8,1,1,4,2,2,1,2,6,-8,2,5,E12000003,1,1,4,2,1
PTS000000584755,2,1,2,3,1,2,3,2,9,-8,2,6,E12000003,1,1,4,1,1
PTS000000586583,1,1,-8,4,1,2,-8,-8,-8,-8,-8,-8,E12000003,2,1,1,1,1
PTS000000173083,2,1,-8,4,1,4,-8,1,-8,-8,-8,-8,E12000005,1,1,1,1,1
PTS000000175985,4,1,5,4,2,2,-8,2,6,-8,2,2,E12000005,2,1,7,2,1
PTS000000173657,-8,1,5,4,1,2,-8,2,5,-8,2,4,E12000005,2,1,7,1,1
PTS000000174404,4,1,1,4,2,4,4,2,5,-8,3,9,E12000005,2,1,6,1,1
PTS000000173021,1,1,1,4,2,2,4,2,7,-8,2,1,E12000005,9,1,5,2,1
PTS000000174342,-8,1,2,4,2,2,2,2,6,-8,2,8,E12000005,2,1,7,2,1
PTS000000174779,3,1,1,4,2,4,4,2,5,-8,1,7,E12000005,9,1,2,1,1
PTS000000173407,-8,1,5,4,4,2,-8,2,-8,-8,2,-8,E12000005,2,1,7,1,1
PTS000000176031,4,1,-8,4,1,4,-8,1,-8,-8,-8,-8,E12000005,1,1,1,2,1
PTS000000176069,2,1,-8,4,1,3,-8,-8,-8,-8,-8,-8,E12000005,1,1,1,2,1
PTS000000556478,3,1,-8,4,1,2,-8,1,-8,E13000002,-8,-8,E12000007,1,1,1,1,1
PTS000000555684,-8,1,5,4,2,1,-8,2,8,E13000002,5,9,E12000007,2,1,7,1,1
PTS000000556293,-8,1,5,4,5,1,-8,2,8,E13000002,4,9,E12000007,2,1,7,1,1
PTS000000555302,4,1,7,3,4,4,-8,2,-8,E13000002,1,-8,E12000007,1,1,5,1,1
PTS000000504621,2,2,1,1,2,3,3,2,8,E13000001,1,2,E12000007,3,1,3,1,1
PTS000000503386,3,-8,-8,-8,-8,2,-8,1,-8,E13000001,1,-8,E12000007,-8,1,2,1,2
PTS000000502562,2,1,-8,4,1,2,-8,1,-8,E13000001,-8,-8,E12000007,2,1,1,2,1
PTS000000504503,1,2,2,4,2,1,2,2,8,E13000001,2,2,E12000007,2,1,5,1,1
PTS000000356216,1,2,2,3,2,2,3,2,7,E13000002,2,3,E12000007,2,1,4,1,1
PTS000000347389,3,1,1,4,2,2,3,2,8,-8,1,6,E12000006,1,1,2,1,1
PTS000000347456,3,1,7,4,3,2,-8,2,-8,-8,2,-8,E12000006,2,1,5,1,1
PTS000000347664,2,2,1,5,3,2,1,2,5,-8,2,7,E12000006,7,1,5,1,1
PTS000000357102,4,1,2,4,2,4,4,2,4,E13000002,1,1,E12000007,1,1,3,2,1
PTS000000347599,4,1,3,5,3,2,-8,2,7,-8,2,4,E12000006,2,1,5,1,1
PTS000000347562,3,1,2,4,1,2,3,2,9,-8,2,3,E12000006,9,1,4,2,1
PTS000000348231,2,1,-8,4,1,2,-8,-8,-8,-8,-8,-8,E12000006,1,1,1,1,1
PTS000000532686,1,1,6,4,1,2,-8,1,-8,E13000002,1,-8,E12000007,5,1,2,2,1
PTS000000531247,2,1,1,4,3,5,1,2,9,E13000002,1,4,E12000007,2,1,5,1,1
PTS000000533619,-8,2,5,4,2,2,-8,2,5,E13000002,2,7,E12000007,2,1,7,1,1
PTS000000532479,1,2,-8,3,1,2,-8,1,-8,E13000002,-8,-8,E12000007,2,1,1,2,1
PTS000000531887,2,1,1,2,1,3,3,2,8,E13000002,1,4,E12000007,1,1,3,1,1
PTS000000531658,1,1,-8,4,1,2,-8,-8,-8,E13000002,-8,-8,E12000007,9,1,1,2,1
PTS000000534175,2,-8,-8,-8,-8,5,-8,1,-8,E13000002,1,-8,E12000007,-8,1,2,1,2
PTS000000325450,4,1,-8,4,2,2,-8,1,-8,E13000002,-8,-8,E12000007,2,1,1,1,1
PTS000000533999,2,1,1,4,2,2,3,2,8,E13000002,2,4,E12000007,1,1,4,2,1
PTS000000323803,2,2,2,5,1,2,3,2,7,E13000002,2,1,E12000007,1,1,4,1,1
PTS000000325358,2,2,-8,5,1,2,-8,1,-8,E13000002,-8,-8,E12000007,9,1,1,2,1
PTS000000323160,2,1,-8,4,2,2,-8,-8,-8,E13000002,-8,-8,E12000007,9,1,1,2,1
PTS000000325833,4,1,-8,5,1,2,-8,1,-8,E13000002,-8,-8,E12000007,6,1,1,2,1
PTS000000323354,4,2,7,1,2,2,-8,2,8,E13000002,2,9,E12000007,4,1,6,1,1
PTS000000323499,-8,2,5,1,5,4,-8,2,7,E13000002,2,4,E12000007,6,1,7,1,1
PTS000000326146,1,1,1,4,1,3,3,2,6,E13000002,1,2,E12000007,1,1,3,2,1
PTS000000572028,3,2,9,4,1,2,-8,2,-8,E13000002,2,-8,E12000007,6,1,2,2,1
PTS000000572110,-8,2,1,2,2,5,2,2,6,E13000002,2,9,E12000007,9,1,7,2,1
PTS000000571424,2,1,-8,5,2,3,-8,-8,-8,E13000002,-8,-8,E12000007,2,1,1,2,1
PTS000000569464,-8,1,2,1,1,4,1,2,8,E13000002,2,4,E12000007,9,1,4,1,1
PTS000000570951,4,2,1,2,1,4,2,2,8,E13000002,1,6,E12000007,6,1,3,1,1
PTS000000570786,2,1,1,2,2,3,3,2,6,E13000002,4,1,E12000007,2,1,6,2,1
PTS000000569400,-8,1,1,4,1,2,4,2,5,E13000002,2,3,E12000007,2,1,7,2,1
PTS000000570729,2,1,1,2,1,4,3,2,7,E13000002,1,3,E12000007,2,1,4,1,1
PTS000000570127,2,1,1,1,1,2,3,2,8,E13000002,1,4,E12000007,4,1,3,1,1
PTS000000571808,3,1,-8,3,1,4,-8,-8,-8,E13000002,-8,-8,E12000007,2,1,1,1,1
PTS000000570162,2,1,1,4,2,2,3,2,7,E13000002,2,5,E12000007,1,1,5,2,1
PTS000000569950,-8,2,2,4,1,2,1,2,4,E13000002,2,2,E12000007,9,1,4,2,1
PTS000000571310,-8,1,2,4,3,2,1,2,6,E13000002,2,8,E12000007,2,1,7,2,1
PTS000000571691,4,1,8,2,3,1,-8,2,6,E13000002,1,8,E12000007,2,1,4,2,1
PTS000000569776,3,2,2,1,4,1,1,2,7,E13000002,4,5,E12000007,6,1,5,2,1
PTS000000308479,4,1,1,4,3,3,3,2,9,-8,1,6,E12000004,2,1,4,2,1
PTS000000308036,-8,1,5,4,3,3,-8,2,7,-8,3,3,E12000004,1,1,7,2,1
PTS000000308564,3,2,1,4,1,3,2,2,7,-8,1,9,E12000004,9,1,3,2,1
PTS000000308675,-8,2,6,4,2,-8,-8,1,5,-8,1,6,E12000004,1,2,2,2,1
PTS000000308021,1,1,1,4,4,1,3,2,8,-8,1,2,E12000004,1,1,6,2,1
PTS000000216182,4,1,-8,4,1,4,-8,-8,-8,-8,-8,-8,E12000009,1,1,1,1,1
PTS000000216134,1,1,5,4,2,2,-8,2,8,-8,2,2,E12000009,1,1,6,2,1
PTS000000090925,-8,1,5,4,2,2,-8,2,5,-8,2,2,E12000008,2,1,7,2,1
PTS000000092151,3,1,7,4,3,2,-8,2,8,-8,2,9,E12000008,1,1,5,1,1
PTS000000091962,2,1,1,4,2,3,3,2,7,-8,1,4,E12000008,1,1,4,1,1
PTS000000431853,2,1,1,4,2,2,3,2,8,-8,2,1,E12000005,1,1,5,2,1
PTS000000262908,2,1,4,2,1,4,2,1,8,-8,4,6,E12000005,6,1,4,1,1
PTS000000263042,-8,1,5,4,3,1,-8,2,8,-8,5,4,E12000005,2,1,7,1,1
PTS000000262855,2,1,-8,4,1,2,-8,1,-8,-8,-8,-8,E12000005,2,1,1,2,1
PTS000000263618,4,1,-8,4,1,4,-8,1,-8,-8,-8,-8,E12000005,1,1,1,1,1
PTS000000263416,2,2,2,4,1,2,3,2,5,-8,2,1,E12000005,2,1,3,2,1
PTS000000264004,1,1,7,4,4,2,-8,2,8,-8,2,6,E12000005,2,1,5,1,1
PTS000000262887,3,1,-8,4,5,2,-8,2,-8,-8,-8,-8,E12000005,2,1,1,1,1
PTS000000344573,3,1,7,4,2,2,-8,2,7,-8,2,4,E12000008,2,1,6,1,1
PTS000000341146,-8,1,5,4,4,2,-8,2,5,-8,2,3,E12000008,2,1,7,1,1
PTS000000340155,2,1,1,4,1,3,3,2,8,-8,1,2,E12000008,1,1,3,1,1
PTS000000340432,-8,1,5,4,2,1,-8,2,2,-8,5,7,E12000008,1,1,7,2,1
PTS000000341227,2,1,-8,1,1,2,-8,1,-8,-8,-8,-8,E12000008,6,1,1,1,1
PTS000000344892,1,1,-8,4,1,2,-8,-8,-8,-8,-8,-8,E12000008,9,1,1,1,1
PTS000000341504,2,1,1,4,3,3,2,2,5,-8,3,4,E12000008,9,1,5,1,1
PTS000000340163,-8,2,5,2,3,1,-8,2,-8,-8,5,-8,E12000008,2,1,7,1,1
PTS000000345164,2,1,-8,4,1,4,-8,-8,-8,-8,-8,-8,E12000008,1,1,1,1,1
PTS000000344894,3,1,1,4,2,2,2,2,5,-8,2,4,E12000008,2,1,4,1,1
PTS000000345055,4,1,1,4,1,4,2,2,9,-8,1,7,E12000008,1,1,2,1,1
PTS000000345156,2,1,2,4,2,5,2,2,5,-8,1,5,E12000008,9,1,3,2,1
PTS000000026912,1,-8,-8,-8,-8,2,-8,1,-8,-8,1,-8,E12000008,-8,1,2,2,2
PTS000000025735,2,1,1,4,1,2,3,2,8,-8,2,3,E12000008,2,1,5,2,1
PTS000000126064,2,1,2,4,3,2,3,2,5,-8,2,1,E12000008,1,1,5,2,1
PTS000000126899,4,2,4,4,2,2,1,1,5,-8,1,8,E12000008,2,1,2,2,1
PTS000000126125,3,1,-8,4,1,4,-8,1,-8,-8,-8,-8,E12000008,2,1,1,1,1
PTS000000126417,-8,1,4,1,2,4,-8,1,-8,-8,1,-8,E12000008,2,1,2,1,1
PTS000000126856,4,1,1,4,1,2,1,2,9,-8,2,6,E12000008,9,1,6,1,1
PTS000000126729,1,1,1,4,1,2,4,2,4,-8,2,5,E12000008,1,1,5,2,1
PTS000000126130,2,1,5,4,3,2,-8,2,8,-8,2,8,E12000008,1,1,6,1,1
PTS000000126991,1,2,1,4,3,2,3,2,2,-8,2,2,E12000008,2,1,5,1,1
PTS000000125364,2,1,2,4,1,2,1,2,9,-8,1,6,E12000008,1,1,2,1,1
PTS000000127152,2,1,1,4,2,3,3,2,8,-8,1,3,E12000008,1,1,3,1,1
PTS000000009546,3,1,-8,4,1,2,-8,1,-8,-8,-8,-8,E12000003,1,1,1,1,1
PTS000000109590,4,1,-8,1,1,2,-8,-8,-8,-8,-8,-8,E12000004,6,1,1,2,1
PTS000000111924,1,1,4,4,3,4,1,1,5,-8,1,9,E12000004,1,1,2,1,1
PTS000000111088,-8,1,5,4,2,2,-8,2,5,-8,2,1,E12000004,2,1,7,1,1
PTS000000110798,3,1,1,1,1,2,3,2,6,-8,2,3,E12000004,4,1,4,1,1
PTS000000111859,4,2,4,3,1,2,2,1,5,-8,1,9,E12000004,1,1,2,1,1
PTS000000110722,2,1,-8,1,1,2,-8,1,-8,-8,-8,-8,E12000004,7,1,1,2,1
PTS000000112243,3,1,-8,2,1,4,-8,-8,-8,-8,-8,-8,E12000004,6,1,1,1,1
PTS000000109452,1,2,1,1,1,3,3,2,6,-8,4,2,E12000004,4,1,6,2,1
PTS000000112288,4,2,7,1,2,2,-8,2,2,-8,2,8,E12000004,4,1,5,1,1
PTS000000109770,2,1,6,4,3,3,-8,1,6,-8,1,8,E12000004,1,1,2,2,1
PTS000000110690,1,1,1,4,1,2,2,2,8,-8,2,1,E12000004,1,1,4,1,1
PTS000000112063,3,2,2,1,1,2,2,2,2,-8,2,8,E12000004,6,1,6,2,1
PTS000000109881,3,2,1,1,1,2,2,2,2,-8,2,8,E12000004,4,1,4,1,1
PTS000000111578,2,2,6,2,2,4,-8,1,-8,-8,1,-8,E12000004,6,1,2,1,1
PTS000000109924,3,2,1,1,1,2,3,2,2,-8,2,8,E12000004,6,1,6,2,1
PTS000000110107,2,1,6,1,1,2,-8,1,-8,-8,1,-8,E12000004,6,1,2,1,1
PTS000000111159,4,1,-8,4,1,2,-8,-8,-8,-8,-8,-8,E12000004,2,1,1,1,1
PTS000000112022,4,2,4,4,2,3,-8,1,7,-8,1,9,E12000004,2,1,2,1,1
PTS000000059354,2,1,1,4,3,4,2,2,5,-8,1,7,E12000006,9,1,3,1,1
PTS000000059235,1,1,-8,4,1,2,-8,1,-8,-8,-8,-8,E12000006,2,1,1,1,1
PTS000000060211,2,1,1,4,3,1,3,2,8,-8,1,4,E12000006,1,1,5,2,1
PTS000000060206,1,1,-8,4,1,3,-8,1,-8,-8,-8,-8,E12000006,2,1,1,2,1
PTS000000381997,1,1,4,4,1,2,-8,1,5,-8,1,9,E12000004,1,1,2,2,1
PTS000000381413,2,1,1,4,1,5,3,2,8,-8,4,2,E12000004,1,1,6,1,1
PTS000000381600,-8,1,5,4,2,2,-8,2,8,-8,2,3,E12000004,2,1,7,2,1
PTS000000381370,4,1,-8,4,1,4,-8,1,-8,-8,-8,-8,E12000004,1,1,1,1,1
PTS000000381014,2,1,5,4,1,2,-8,2,5,-8,2,7,E12000004,2,1,6,2,1
PTS000000280168,4,1,-8,4,1,2,-8,1,-8,-8,-8,-8,E12000005,2,1,1,1,1
PTS000000280800,-8,1,5,4,2,1,-8,2,2,-8,5,5,E12000005,2,1,7,2,1
PTS000000281529,-8,1,5,4,2,2,-8,2,8,-8,2,2,E12000005,9,1,7,2,1
PTS000000280575,3,1,-8,1,1,2,-8,1,-8,-8,-8,-8,E12000005,6,1,1,1,1
PTS000000280973,4,1,-8,4,1,4,-8,1,-8,-8,-8,-8,E12000005,1,1,1,2,1
PTS000000280374,4,1,9,4,3,2,-8,2,2,-8,2,9,E12000005,1,1,6,2,1
PTS000000281161,3,1,2,4,1,1,2,2,4,-8,1,5,E12000005,1,1,3,2,1
PTS000000280600,1,1,1,4,1,2,3,2,9,-8,2,2,E12000005,1,1,3,2,1
PTS000000280485,2,1,8,1,4,2,-8,2,-8,-8,1,-8,E12000005,6,1,3,1,1
PTS000000281639,2,1,1,4,1,2,2,2,5,-8,1,7,E12000005,2,1,2,1,1
PTS000000281711,2,1,7,4,2,3,-8,2,6,-8,1,3,E12000005,1,1,3,2,1
PTS000000281441,2,1,1,4,2,2,3,2,8,-8,2,1,E12000005,2,1,5,1,1
PTS000000280521,4,1,-8,4,1,4,-8,-8,-8,-8,-8,-8,E12000005,2,1,1,1,1
PTS000000281437,-8,1,5,4,4,2,-8,2,9,-8,2,4,E12000005,2,1,7,1,1
PTS000000282481,4,1,-8,4,1,3,-8,1,-8,-8,-8,-8,E12000005,2,1,1,1,1
PTS000000144055,1,1,1,5,1,2,3,2,6,-8,2,2,E12000002,1,1,5,2,1
PTS000000374911,4,2,-8,2,1,4,-8,1,-8,-8,-8,-8,E12000001,2,1,1,1,1
PTS000000375484,2,1,6,4,2,5,-8,1,5,-8,1,9,E12000001,1,1,2,1,1
PTS000000375819,1,1,1,4,2,3,3,2,7,-8,1,2,E12000001,1,1,3,1,1
PTS000000374513,4,1,9,4,2,5,-8,2,8,-8,1,2,E12000001,1,1,3,1,1
